Title,Company,Location,Duration,Stipend,Apply By,Applicants,Skills Required,Perks,Number of Openings,Link
Sales & Marketing,Decathlon Sport India Private Limited,Chennai,3 Months,10000 /month,19 Apr' 22,Be an early applicant,,"Certificate , Letter of recommendation , Flexible work hours , Informal dress code , Job offer , ",4,https://internshala.com/internship/detail/sales-marketing-part-time-job-internship-at-chennai-in-decathlon-sport-india-private-limited1649138528
Business Development (Sales),Aditya Birla Capital,Kolkata,3 Months,2000-3000 /month,16 Apr' 22,52 applicants,,"Certificate , Letter of recommendation , Job offer , ",20,https://internshala.com/internship/detail/business-development-sales-part-time-job-internship-at-kolkata-in-aditya-birla-capital1648886882
Teaching (Computer Programming),Nimble-Q,Kanpur Dehat,3 Months,1600 /week,24 Apr' 22,Be an early applicant,"Android , Java , Python , ","Certificate , Letter of recommendation , Job offer , ",1,https://internshala.com/internship/detail/teaching-computer-programming-part-time-job-internship-at-kanpur-dehat-in-nimble-q1649402035
Baking - Culinary,Prianka Khushwani,Delhi,6 Months,4000 /month,24 Apr' 22,Be an early applicant,"Culinary Arts , ","Certificate , Letter of recommendation , Flexible work hours , Informal dress code , Free snacks & beverages , Job offer , ",2,https://internshala.com/internship/detail/baking-culinary-part-time-job-internship-at-delhi-in-prianka-khushwani1649575509
Web Development,Spring 360 Technology,Bhopal,3 Months,7000-20000 /month,24 Apr' 22,Be an early applicant,".NET , JavaScript , Node.js , PHP , Python , ReactJS , ","Certificate , Letter of recommendation , Flexible work hours , Informal dress code , 5 days a week , Job offer , ",8,https://internshala.com/internship/detail/web-development-part-time-job-internship-at-bhopal-in-spring-360-technology1649404167
Android App Development,AnsrOne,Work From Home,3 Months,1000-2000 /month,24 Apr' 22,Be an early applicant,"Android , C++ Programming , C Programming , Java , Python , ","Certificate , Letter of recommendation , Flexible work hours , Job offer , ",2,https://internshala.com/internship/detail/android-app-development-work-from-home-job-internship-at-ansrone1649516286
Content Writing,Nirav Shah,Work From Home,3 Months,3000-5000 /month,24 Apr' 22,Be an early applicant,"Creative Writing , English Proficiency (Written) , ","Certificate , Letter of recommendation , Flexible work hours , Job offer , ",3,https://internshala.com/internship/detail/content-writing-work-from-home-job-internship-at-nirav-shah1649512884
Marketing,GetSetHome,Mumbai,3 Months,5000-7000 /month,24 Apr' 22,Be an early applicant,"English Proficiency (Spoken) , English Proficiency (Written) , ","Certificate , Letter of recommendation , Flexible work hours , Informal dress code , Free snacks & beverages , Job offer , ",3,https://internshala.com/internship/detail/marketing-part-time-job-internship-at-mumbai-in-getsethome1649509639
Graphic Design,Enigma Metaverse Private Limited,Hyderabad,6 Months,5000-8000 /month,23 Apr' 22,Be an early applicant,"Adobe Illustrator , Adobe Indesign , Adobe Photoshop , UI & UX Design , ","Certificate , Letter of recommendation , Flexible work hours , Informal dress code , 5 days a week , Job offer , ",1,https://internshala.com/internship/detail/graphic-design-part-time-job-internship-at-hyderabad-in-enigma-metaverse-private-limited1649503457
Social Media Marketing,Happy Life Foundation,Ahmedabad,3 Months,6000 /month,24 Apr' 22,Be an early applicant,"Instagram Marketing , Social Media Marketing , ","Certificate , Letter of recommendation , Flexible work hours , Informal dress code , Job offer , ",2,https://internshala.com/internship/detail/social-media-marketing-part-time-job-internship-at-ahmedabad-in-happy-life-foundation1649495094
Event Management,Vitaraka Ecommerce Private Limited,Delhi,3 Months,10000-30000 lump sum,23 Apr' 22,69 applicants,"English Proficiency (Spoken) , English Proficiency (Written) , Hindi Proficiency (Spoken) , ","Certificate , Letter of recommendation , Flexible work hours , 5 days a week , Job offer , ",20,https://internshala.com/internship/detail/event-management-part-time-job-internship-at-multiple-locations-in-vitaraka-ecommerce-private-limited1649310858
Digital Marketing,CreativeHigh,Work From Home,3 Months,2000 /month +  Incentives,23 Apr' 22,78 applicants,,"Certificate , Letter of recommendation , Flexible work hours , Job offer , ",5,https://internshala.com/internship/detail/digital-marketing-work-from-home-job-internship-at-creativehigh1649141967
Graphic Design,EStorifi Solutions Private Limited,Work From Home,3 Months,5000 /month,24 Apr' 22,Be an early applicant,"Adobe Illustrator , Adobe Photoshop , Adobe Premiere Pro , UI & UX Design , Video Editing , ","Certificate , Letter of recommendation , Flexible work hours , Job offer , ",1,https://internshala.com/internship/detail/graphic-design-work-from-home-job-internship-at-estorifi-solutions-private-limited1649486756
Digital Marketing,Weboin,Chennai,6 Months,15000 /month,23 Apr' 22,Be an early applicant,,"Certificate , Letter of recommendation , Flexible work hours , Informal dress code , 5 days a week , Free snacks & beverages , Job offer , ",13,https://internshala.com/internship/detail/digital-marketing-part-time-job-internship-at-chennai-in-weboin1649484901
Marketing,Craftin Images,Mumbai,2 Months,5000 /month,23 Apr' 22,Be an early applicant,"Digital Marketing , Social Media Marketing , ","Certificate , Letter of recommendation , Job offer , ",3,https://internshala.com/internship/detail/marketing-part-time-job-internship-at-mumbai-in-craftin-images1649482107
React Native Development,Sud Goyal,Work From Home,2 Months,5000-10000 /month,23 Apr' 22,Be an early applicant,"React Native , ","Certificate , Letter of recommendation , Flexible work hours , 5 days a week , Job offer , ",2,https://internshala.com/internship/detail/react-native-development-work-from-home-job-internship-at-sud-goyal1649453412
Graphic Design,Magnafest Communications,Work From Home,3 Months,12000 /month,23 Apr' 22,28 applicants,"Figma , UI & UX Design , ","Certificate , Letter of recommendation , Flexible work hours , 5 days a week , Job offer , ",1,https://internshala.com/internship/detail/graphic-design-work-from-home-job-internship-at-magnafest-communications1649439434
Marketing,Mazatron Enterprise,Noida,6 Months,5000 /month +  Incentives,22 Apr' 22,Be an early applicant,,"Certificate , Letter of recommendation , Flexible work hours , Informal dress code , Job offer , ",20,https://internshala.com/internship/detail/marketing-part-time-job-internship-at-noida-in-mazatron-enterprise1649328313
Social Media Marketing,Gaj-Aakriti Studio,Ahmedabad,2 Months,2000 /month +  Incentives,22 Apr' 22,Be an early applicant,"Creative Writing , Digital Marketing , Email Marketing , English Proficiency (Spoken) , English Proficiency (Written) , Facebook Marketing , Instagram Marketing , Search Engine Marketing (SEM) , Search Engine Optimization (SEO) , Social Media Marketing , ","Certificate , Letter of recommendation , Flexible work hours , Informal dress code , Job offer , ",1,https://internshala.com/internship/detail/social-media-marketing-part-time-job-internship-at-ahmedabad-in-gaj-aakriti-studio1649430630
Marketing,Gaj-Aakriti Studio,Ahmedabad,2 Months,2000 /month +  Incentives,22 Apr' 22,Be an early applicant,"English Proficiency (Spoken) , English Proficiency (Written) , MS-Excel , MS-Office , Social Media Marketing , ","Certificate , Letter of recommendation , Flexible work hours , Informal dress code , Job offer , ",2,https://internshala.com/internship/detail/marketing-part-time-job-internship-at-ahmedabad-in-gaj-aakriti-studio1649430322
Graphic Design,Otaku Kulture,Work From Home,2 Months,3500 /month,22 Apr' 22,53 applicants,"Adobe After Effects , Adobe Creative Suite , Adobe Illustrator , Adobe Indesign , Adobe Photoshop , Adobe Photoshop Lightroom CC , Adobe Premiere Pro , CorelDRAW , ","Certificate , Letter of recommendation , Flexible work hours , Job offer , ",2,https://internshala.com/internship/detail/graphic-design-work-from-home-job-internship-at-otaku-kulture1649327460
Business Development (Sales),Aay Technology Private Limited,Jaipur,3 Months,5000 /month,22 Apr' 22,Be an early applicant,"Hindi Proficiency (Spoken) , Sales , ","Certificate , Letter of recommendation , 5 days a week , Job offer , ",2,https://internshala.com/internship/detail/business-development-sales-part-time-job-internship-at-jaipur-in-aay-technology-private-limited1649424140
Business Development (Sales),Expert Locks,Work From Home,3 Months,3000 /month +  Incentives,22 Apr' 22,Be an early applicant,"English Proficiency (Spoken) , English Proficiency (Written) , MS-Word , ","Certificate , Letter of recommendation , Flexible work hours , 5 days a week , Job offer , ",2,https://internshala.com/internship/detail/business-development-sales-work-from-home-job-internship-at-expert-locks1649415461
Operations,Sarvpriye Foundation,Work From Home,3 Months,Unpaid,23 Apr' 22,Be an early applicant,"English Proficiency (Written) , MS-Excel , MS-PowerPoint , ","Certificate , Letter of recommendation , Flexible work hours , 5 days a week , Job offer , ",4,https://internshala.com/internship/detail/operations-work-from-home-job-internship-at-sarvpriye-foundation1649158413
Social Media Marketing,Tulum Coffee,Mumbai,3 Months,5000 /month,22 Apr' 22,Be an early applicant,"Creative Writing , Digital Marketing , Email Marketing , English Proficiency (Spoken) , English Proficiency (Written) , Instagram Marketing , Social Media Marketing , ","Certificate , Letter of recommendation , Informal dress code , 5 days a week , Free snacks & beverages , Job offer , ",2,https://internshala.com/internship/detail/social-media-marketing-part-time-job-internship-at-mumbai-in-tulum-coffee1649313254
Graphic Design,MIE Conferences,Kolkata,3 Months,10000 /month,22 Apr' 22,Be an early applicant,,"Certificate , Flexible work hours , Free snacks & beverages , Job offer , ",2,https://internshala.com/internship/detail/graphic-design-part-time-job-internship-at-kolkata-in-mie-conferences1649417812
Marketing,MakeMyHolidayz,Thane,2 Months,2000 /month +  Incentives,23 Apr' 22,Be an early applicant,"English Proficiency (Spoken) , English Proficiency (Written) , Hindi Proficiency (Spoken) , MS-Excel , ","Certificate , Letter of recommendation , Flexible work hours , Informal dress code , 5 days a week , Job offer , ",15,https://internshala.com/internship/detail/marketing-part-time-job-internship-at-multiple-locations-in-makemyholidayz1649415766
Social Media Marketing,NoizzyBox,Chennai,6 Months,10000-25000 /month,22 Apr' 22,Be an early applicant,"Creative Writing , Digital Marketing , Email Marketing , English Proficiency (Spoken) , English Proficiency (Written) , Facebook Marketing , Instagram Marketing , Search Engine Marketing (SEM) , Search Engine Optimization (SEO) , Social Media Marketing , ","Certificate , Letter of recommendation , Informal dress code , Free snacks & beverages , Job offer , ",2,https://internshala.com/internship/detail/social-media-marketing-part-time-job-internship-at-chennai-in-noizzybox1649415094
Sales,Ulead,Work From Home,1 Month,2000 /month,22 Apr' 22,48 applicants,"English Proficiency (Spoken) , English Proficiency (Written) , MS-Excel , MS-Office , ","Certificate , Letter of recommendation , Flexible work hours , Job offer , ",15,https://internshala.com/internship/detail/sales-work-from-home-job-internship-at-ulead1649336191
Business Development (Sales),Concept Kendra,Work From Home,3 Months,4500 /month +  Incentives,23 Apr' 22,Be an early applicant,"English Proficiency (Spoken) , Hindi Proficiency (Spoken) , ","Certificate , Letter of recommendation , Flexible work hours , Job offer , ",1,https://internshala.com/internship/detail/business-development-sales-work-from-home-job-internship-at-concept-kendra1649412320
Graphic Design,EmergentX,Work From Home,4 Months,8000 /month +  Incentives,22 Apr' 22,31 applicants,"Adobe Creative Suite , Adobe Illustrator , Adobe Indesign , Adobe Photoshop , MS-Excel , MS-PowerPoint , Video Editing , ","Certificate , Letter of recommendation , Flexible work hours , 5 days a week , Job offer , ",3,https://internshala.com/internship/detail/graphic-design-work-from-home-job-internship-at-emergentx1649347244
Content Writing,Be Intricate,Work From Home,4 Months,8000-10000 /month,23 Apr' 22,38 applicants,"Copywriting , Creative Writing , English Proficiency (Spoken) , English Proficiency (Written) , Search Engine Optimization (SEO) , ","Certificate , Letter of recommendation , Flexible work hours , 5 days a week , Job offer , ",3,https://internshala.com/internship/detail/content-writing-work-from-home-job-internship-at-be-intricate1649411326
Video Making/Editing,Wrig Productions,Pune,2 Months,8000 /month,22 Apr' 22,Be an early applicant,,"Certificate , Letter of recommendation , Informal dress code , 5 days a week , Free snacks & beverages , Job offer , ",5,https://internshala.com/internship/detail/video-making-editing-part-time-job-internship-at-pune-in-wrig-productions1649344743
English Training,Zenith Consultants,Delhi,3 Months,20000 /month,22 Apr' 22,28 applicants,,"Job offer , ",2,https://internshala.com/internship/detail/english-training-part-time-job-internship-at-delhi-in-zenith-consultants1649409661
Sales & Marketing,UpBrinGO,Work From Home,3 Months,7000-10000 /month,23 Apr' 22,Be an early applicant,"Digital Marketing , Facebook Marketing , Sales , Sales and Marketing , ","Certificate , Letter of recommendation , Flexible work hours , Job offer , ",2,https://internshala.com/internship/detail/sales-marketing-work-from-home-job-internship-at-upbringo1649409286
Web Development,TruSpectra India Private Limited,Pune,6 Months,15000 /month,23 Apr' 22,Be an early applicant,"Amazon Web Services (AWS) , C# , GitHub , HTML , JavaScript , Linux , Microsoft Azure , Node.js , Python , ReactJS , REST API , ","Certificate , Informal dress code , Job offer , ",1,https://internshala.com/internship/detail/web-development-part-time-job-internship-at-pune-in-truspectra-india-private-limited1649406884
Graphic Design,Eduline (Branded Hut),Work From Home,2 Months,4000 /month,22 Apr' 22,Be an early applicant,"Adobe After Effects , Adobe Creative Suite , Adobe Illustrator , Adobe Indesign , Adobe Photoshop , Adobe Photoshop Lightroom CC , Adobe Premiere Pro , CorelDRAW , UI & UX Design , ","Certificate , Letter of recommendation , Flexible work hours , 5 days a week , Job offer , ",1,https://internshala.com/internship/detail/graphic-design-work-from-home-job-internship-at-eduline-branded-hut1649323584
Python & Django Development,LEANVIA LLC,Chandigarh,3 Months,5000 /month,22 Apr' 22,Be an early applicant,"Django , PostgreSQL , Python , REST API , ","Certificate , Letter of recommendation , Flexible work hours , Informal dress code , Job offer , ",5,https://internshala.com/internship/detail/python-django-development-part-time-job-internship-at-chandigarh-in-leanvia-llc1649321090
Human Resources (HR),Necesario Innovations Private Limited,Ahmedabad,2 Months,5000-9000 /month,22 Apr' 22,Be an early applicant,,"Certificate , Letter of recommendation , Flexible work hours , Informal dress code , 5 days a week , Free snacks & beverages , Job offer , ",2,https://internshala.com/internship/detail/human-resources-hr-part-time-job-internship-at-ahmedabad-gandhinagar-in-necesario-innovations-private-limited1649333548
Business Development (Sales),HeroXHost,Indore,3 Months,2000 /month +  Incentives,22 Apr' 22,Be an early applicant,"Digital Marketing , Email Marketing , English Proficiency (Spoken) , English Proficiency (Written) , MS-Excel , Social Media Marketing , ","Certificate , Letter of recommendation , Flexible work hours , Informal dress code , Free snacks & beverages , Job offer , ",2,https://internshala.com/internship/detail/business-development-sales-part-time-job-internship-at-indore-in-heroxhost1649327153
Video Editing,Quantsapp Private Limited,Mumbai,3 Months,5000 /month,22 Apr' 22,Be an early applicant,"Adobe After Effects , Adobe Creative Suite , Adobe Illustrator , Adobe Premiere Pro , Final Cut Pro , ","Certificate , Informal dress code , Job offer , ",5,https://internshala.com/internship/detail/video-editing-part-time-job-internship-at-mumbai-in-quantsapp-private-limited1649401775
Web Development (CodeIgniter),Tech E-Box,Aurangabad,3 Months,8000-12000 /month,22 Apr' 22,Be an early applicant,"Bootstrap , CodeIgniter , MySQL , ","Certificate , Letter of recommendation , Flexible work hours , Job offer , ",2,https://internshala.com/internship/detail/web-development-codeigniter-part-time-job-internship-at-multiple-locations-in-tech-e-box1649401228
Content Writing,Tech E-Box,Aurangabad,6 Months,4000-6000 /month,22 Apr' 22,Be an early applicant,"Creative Writing , Digital Marketing , English Proficiency (Written) , Search Engine Optimization (SEO) , Social Media Marketing , ","Certificate , Letter of recommendation , Flexible work hours , Job offer , ",2,https://internshala.com/internship/detail/content-writing-part-time-job-internship-at-multiple-locations-in-tech-e-box1649318849
Business Development (Sales),Buymec Exports Private Limited,Pune,3 Months,10000 /month,22 Apr' 22,Be an early applicant,"Digital Marketing , Email Marketing , English Proficiency (Spoken) , English Proficiency (Written) , MS-Excel , Social Media Marketing , ","Certificate , Letter of recommendation , Flexible work hours , Informal dress code , 5 days a week , Job offer , ",5,https://internshala.com/internship/detail/business-development-sales-part-time-job-internship-at-pune-in-buymec-exports-private-limited1649400263
Search Engine Optimization (SEO),Marketing Crap,Mohali,6 Months,3000 /month +  Incentives,22 Apr' 22,Be an early applicant,"Google AdWords , Google Analytics , Search Engine Marketing (SEM) , Search Engine Optimization (SEO) , ","Certificate , Letter of recommendation , Informal dress code , Free snacks & beverages , Job offer , ",3,https://internshala.com/internship/detail/search-engine-optimization-seo-part-time-job-internship-at-mohali-in-marketing-crap1649145109
Mobile App Development,INF Esports Private Limited,Work From Home,3 Months,20000 /month,22 Apr' 22,Be an early applicant,"Android , Flutter , iOS , Java , React Native , REST API , ","Certificate , Letter of recommendation , Flexible work hours , 5 days a week , Job offer , ",1,https://internshala.com/internship/detail/mobile-app-development-work-from-home-job-internship-at-inf-esports-private-limited1649394513
